ITEM_CODE,ITEM_NAME,DEPT,VALUE
179116,"HOME APP  MOBILE PH PROTECTION PLAN 1000120000",MISCELLANEOUS,-1560
183341,"QIAOSHENG EXTENSION CORD 7WAY 3U 1S 2273USB3M","ELECTRICAL APPLIANCES",115
183421,"PHILIPS LED TRACK LIGHT TRACK WHITE 2M 91140189128","ELECTRICAL APPLIANCES",299
189310,"HOME APP  MOBILE PH PROTECTION PLAN 50001100000",MISCELLANEOUS,-1230
113047,"KENWOOD STEAM IRON 2000W STP40000WP","ELECTRICAL APPLIANCES",5577
121324,"VARTA BATTERY LITHIUM CR1632 BLISTER 1","ELECTRICAL APPLIANCES",42
134966,"CHANDELIER 3RINGS HANGING DESIGN A246","HOME DECOR & TEXTILES",1558
131569,"LAMP SHADE PLEATED LACE BORDER 11","HOME DECOR & TEXTILES",137.4
160430,"PHILIPS STEAM IRON 1800W HV DST102036","ELECTRICAL APPLIANCES",4941
171680,"AKAI STANDING FAN 18 EF117A1812","ELECTRICAL APPLIANCES",978
169110,"AKAI GAS COOKER 4B 50X55 BLACK GC066A5110","GAS COOKER & ACCESSORIES",2199
169013,"ENERGYB POWER BANK P4 PLUS 25000","ELECTRONICS & TELECOM",285
188622,"BRUHM AC SPLIT 15HP R410 BAS12RC1W","ELECTRICAL APPLIANCES",4049
185189,"AKAI STANDING FAN 16 EF124A1639S","ELECTRICAL APPLIANCES",890
189318,"HOME APP  MOBILE PH PROTECTION PLAN 2002000",MISCELLANEOUS,-589
192274,"PENDANT LIGHT BLACKGOLD SN0243","HOME DECOR & TEXTILES",389
202401,"BINATONE STANDING FAN 18 ITAL1860","ELECTRICAL APPLIANCES",1938
202572,"SIGMA GAS COOKER 3B1H 50X60 GR BLK SGCM5060B1EG","GAS COOKER & ACCESSORIES",4598
204278,"SIGMA GAS COOKER 4B 50X50 GRILL SIL SGC F5050GS","GAS COOKER & ACCESSORIES",1999
03241,"PLASTIC CASE DANCING WICK FLAMELESS LED CANDLES BS","ELECTRICAL APPLIANCES",130
120200,"LED ROTATING BULB 85LMW","ELECTRICAL APPLIANCES",116.7
111556,"CERAMIC TABLE LAMP GREY DKW19056","HOME DECOR & TEXTILES",349
122485,"PHILIPS BLENDER 19L 450W PLASTIC HR20411050","ELECTRICAL APPLIANCES",749
130210,"PHILIPS DOWNLIGHT CONDUIT 17W 65K 6915005748801","ELECTRICAL APPLIANCES",85
147687,"ENERGIZER BATTERY MAX AABP8","ELECTRICAL APPLIANCES",115
151817,"BINATONE STANDING FAN 16 65W A1612RC","ELECTRICAL APPLIANCES",1119
188471,"SIGMA LED TV 32 SATELLITE SIGK32V6","ELECTRONICS & TELECOM",1499
186063,"AKAI STANDING FAN 16 EF130A1638","ELECTRICAL APPLIANCES",465
185191,"AKAI STANDING FAN 18 EF126A1839S","ELECTRICAL APPLIANCES",1797
197853,"CEILING LAMP BLUETOOTH 7COLOR P000186","HOME DECOR & TEXTILES",479
205566,"SIGMA LED TV 32 SATELLITE STVK32V6","ELECTRONICS & TELECOM",1499
78962,"CHRISTMAS LED LIGHT 28PCS MIX DESIGN  OPP BAG","HOME DECOR & TEXTILES",206.1
99736,"LG MICROWAVE OVEN 42L WGRILL SILVER MH8265CIS","ELECTRICAL APPLIANCES",4499
92004,"CEILING LIGHT LED 24W 3 COLOURS S03","ELECTRICAL APPLIANCES",95
139331,"BINATONE STANDING FAN 18 A1810","ELECTRICAL APPLIANCES",2018
130986,"PHILIPS LED BULB 7W E27 3000K 929001955168","ELECTRICAL APPLIANCES",42
146772,"BINATONE STANDING FAN 16 50W A1692MK5","ELECTRICAL APPLIANCES",3956
168832,"PHILIPS LED BULB 7W E27 6500K 929002299113","ELECTRICAL APPLIANCES",20.9
182028,"FINTEK ADAPTOR CHARGER 35W USBC","ELECTRONICS & TELECOM",179
179120,"HOME APP  MOBILE PH PROTECTION PLAN 20015000",MISCELLANEOUS,-1650
190101,"FAN LED WLIGHT 1800","ELECTRICAL APPLIANCES",229
189566,"KENWOOD STANDING FAN 16 IFP16000BK","ELECTRICAL APPLIANCES",499
201575,"SIGMA AC SPLIT 15HP SACT12BRZ","ELECTRICAL APPLIANCES",3549
105486,"DZIRE BLENDER WMILL 15L 350W BLP202W350","ELECTRICAL APPLIANCES",299
127137,"TABLE LAMP WHITEGOLD 50CM E27","HOME DECOR & TEXTILES",279
121557,"ZIP STAR XMAS LIGHT 16L PINKWHTYELBLU 636612","HOME DECOR & TEXTILES",574.8
163454,"PHILIPS LED BULB 9W B22 6500K 929002308413","ELECTRICAL APPLIANCES",25.9
168390,"COUPE BOWL W2MM GOLD RIM 7 FCW56C2013E RJK","HOUSEWARE & KITCHENWARE",24.9
181638,"WIRELESS MOUSE 24GHZ 10M RANGE","ELECTRONICS & TELECOM",49
183422,"PHILIPS LED TRACK LIGHT 4000K WHITE COL  911401833","ELECTRICAL APPLIANCES",518
183345,"QIAOSHENG EXTENSION CORD 2W2M 3U MS 2333USB2M","ELECTRICAL APPLIANCES",105
192623,"PHILIPS BLENDER W2MILL 2L 600W PLASTIC HR219130","ELECTRICAL APPLIANCES",2598
189316,"HOME APP  MOBILE PH PROTECTION PLAN 20015000",MISCELLANEOUS,-1288
204057,"NASCO TV BRACKET FULL MOTION 50120 NP800","ELECTRONICS & TELECOM",3490
85201,"AKAI WALL FAN 18 75W EF075A1606W","ELECTRICAL APPLIANCES",2060
88238,"BINATONE BLENDER  WMILL 350W BLG 452","ELECTRICAL APPLIANCES",1338
55654,"WALL LAMP ALABASTER 3611W","HOME DECOR & TEXTILES",45
92001,"CEILING LIGHT LED 2925","ELECTRICAL APPLIANCES",109
107340,"ENERGIZER BATTERY POWER ALKALINE 1X20 AAA2","ELECTRICAL APPLIANCES",24
115670,"WALL LAMP E27 IRON SBKWHITE WP21212A1","HOME DECOR & TEXTILES",139
128901,"NASCO AC SPLIT 15HP MIRROR NASM12N1MIRROR","ELECTRICAL APPLIANCES",7398
151330,"TABLE FAN","ELECTRICAL APPLIANCES",78
161999,"TABLE LAMP CERAMIC 23X23X36CM E17 DSTL9875SG","HOME DECOR & TEXTILES",476
162001,"TABLE LAMP CERAMIC 20X20X32CM E17 DSTL9930SG","HOME DECOR & TEXTILES",129
158432,"DZIRE INDUSTRIAL WALL FAN 26 IFW26DCFW65","ELECTRICAL APPLIANCES",1689
171999,"CEILING LIGHT 7021400","HOME DECOR & TEXTILES",229
179127,"NONELEC APP  MOBILE PH PROTECT PLAN 20015000",MISCELLANEOUS,-60
185188,"AKAI STANDING FAN 16 EF123A1619S","ELECTRICAL APPLIANCES",890
189313,"HOME APP  MOBILE PH PROTECTION PLAN 1000120000",MISCELLANEOUS,-1920
189314,"HOME APP  MOBILE PH PROTECTION PLAN 500110000",MISCELLANEOUS,-925
197848,"BEDSIDE LAMP ESCWYTD0198 P000212","HOME DECOR & TEXTILES",758
60934,"BINATONE STANDING FAN 16 VS 16551656","ELECTRICAL APPLIANCES",699
